variety,combination,altitude_m,annotation_method,index,treatment_no,d12,d23,d34,p12_%,p23_%,p34_%
Enrosadira,KAISHI,30,Bounded,NDRE,1,0.02234,0.00675,-0.03027,11.06756964,3.010825591,-13.10724384
Enrosadira,KAISHI,30,Bounded,NDRE,2,0.00368,0.01512,-0.04252,1.35228989,5.482014858,-14.6151493
Enrosadira,KAISHI,30,Bounded,NDRE,3,-0.07989,0.02325,0.03598,-23.57395151,8.976799317,12.74751905
Enrosadira,KAISHI,30,Bounded,NDRE,4,-0.04987,0.06072,0.02905,-19.17184695,28.87976752,10.72070443
Enrosadira,KAISHI,30,Bounded,NDVI,1,0.01023,-0.01024,0.00617,1.15950768,-1.14733765,0.699339538
Enrosadira,KAISHI,30,Bounded,NDVI,2,-0.01585,0.02702,-0.0137,-1.75778889,3.050174352,-1.500759691
Enrosadira,KAISHI,30,Bounded,NDVI,3,-0.02428,0.00729,0.00619,-2.654129149,0.818621908,0.689454685
Enrosadira,KAISHI,30,Bounded,NDVI,4,-0.01124,0.01098,0.02422,-1.254140952,1.240690583,2.703212492
Enrosadira,KAISHI,30,Bounded,OSAVI,1,0.01598,-0.0206,0.01688,2.246619176,-2.832506727,2.388664598
Enrosadira,KAISHI,30,Bounded,OSAVI,2,-0.03622,0.04844,-0.01614,-4.996889016,7.034246207,-2.189748342
Enrosadira,KAISHI,30,Bounded,OSAVI,3,-0.03631,-0.00025,0.0058,-4.903635659,-0.035503244,0.823967803
Enrosadira,KAISHI,30,Bounded,OSAVI,4,-0.0112,0.01863,0.03452,-1.619524525,2.738252193,4.938547134
Enrosadira,KAISHI,30,Bounded,SIPI2,1,0.00194,0.00934,0.02896,0.218953964,1.051836152,3.227420593
Enrosadira,KAISHI,30,Bounded,SIPI2,2,-0.01248,0.02088,-0.02246,-1.348648272,2.287239112,-2.405300657
Enrosadira,KAISHI,30,Bounded,SIPI2,3,-0.00045,-0.01212,0.00902,-0.048114911,-1.296518762,0.977575375
Enrosadira,KAISHI,30,Bounded,SIPI2,4,-0.01387,0.01549,0.00969,-1.490162457,1.689386313,1.039263571
Enrosadira,KAISHI,30,Edges,GNDVI,1,0.00338,0.00704,0.04736,0.477178042,0.989165546,6.589208224
Enrosadira,KAISHI,30,Edges,GNDVI,2,-0.04589,0.05988,-0.04706,-5.974708067,8.291550179,-6.017433423
Enrosadira,KAISHI,30,Edges,GNDVI,3,-0.02631,-0.01111,0.02082,-3.341160275,-1.459650709,2.775885263
Enrosadira,KAISHI,30,Edges,GNDVI,4,-0.0439,0.04296,0.03778,-5.719340621,5.936399275,4.928055349
Enrosadira,KAISHI,30,Edges,LCI,1,0.02046,0.01334,-0.03575,6.348891116,3.892378932,-10.04041442
Enrosadira,KAISHI,30,Edges,LCI,2,-0.01643,0.02018,-0.05513,-4.034565149,5.163753419,-13.41424543
Enrosadira,KAISHI,30,Edges,LCI,3,-0.10339,0.03269,0.04421,-21.89858323,8.865301119,11.01310063
Enrosadira,KAISHI,30,Edges,LCI,4,-0.08315,0.08853,0.03704,-21.94446717,29.93295262,9.638529135
Enrosadira,KAISHI,30,Edges,MCARI,1,0.19978,-0.19539,-0.03596,20.48309258,-16.62722392,-3.670395241
Enrosadira,KAISHI,30,Edges,MCARI,2,-0.00615,0.11513,0.14811,-0.706733272,13.32444497,15.12590624
Enrosadira,KAISHI,30,Edges,MCARI,3,0.03387,0.02366,-0.06376,4.560443038,3.046766448,-7.967798896
Enrosadira,KAISHI,30,Edges,MCARI,4,0.25077,-0.14441,0.13721,30.95463517,-13.612143,14.97139602
Enrosadira,KAISHI,30,Edges,MCARI2,1,0.04536,-0.07131,0.01239,5.727988726,-8.517057405,1.617596948
Enrosadira,KAISHI,30,Edges,MCARI2,2,-0.05802,0.11464,-0.00217,-7.709469147,16.50538974,-0.268165759
Enrosadira,KAISHI,30,Edges,MCARI2,3,-0.06637,0.00897,0.0067,-8.358405191,1.232683003,0.909521605
Enrosadira,KAISHI,30,Edges,MCARI2,4,0.00388,0.02546,0.08769,0.542406243,3.539990351,11.77567006
Enrosadira,KAISHI,30,Edges,NDRE,1,0.01379,0.01467,-0.0292,6.508984664,6.501189891,-12.15041549
Enrosadira,KAISHI,30,Edges,NDRE,2,-0.01043,0.01049,-0.04557,-3.680687156,3.84332145,-16.07798723
Enrosadira,KAISHI,30,Edges,NDRE,3,-0.08588,0.02574,0.03754,-25.33026979,10.16744285,13.45997325
Enrosadira,KAISHI,30,Edges,NDRE,4,-0.06593,0.06983,0.02433,-25.46631594,36.18865988,9.258307933
Enrosadira,KAISHI,30,Edges,NDVI,1,0.00298,-0.01253,0.01005,0.342111517,-1.433571194,1.166555041
Enrosadira,KAISHI,30,Edges,NDVI,2,-0.03037,0.0361,-0.01255,-3.474188393,4.278310624,-1.426313032
Enrosadira,KAISHI,30,Edges,NDVI,3,-0.03272,0.0097,0.00933,-3.700641618,1.139231735,1.083433684
Enrosadira,KAISHI,30,Edges,NDVI,4,-0.02301,0.01937,0.03407,-2.650033226,2.291545652,3.940318117
Enrosadira,KAISHI,30,Edges,OSAVI,1,0.02235,-0.03299,0.01651,3.352981153,-4.788647755,2.517033042
Enrosadira,KAISHI,30,Edges,OSAVI,2,-0.03237,0.06563,-0.0084,-4.942882753,10.54278559,-1.220680064
Enrosadira,KAISHI,30,Edges,OSAVI,3,-0.03307,0.00103,0.00679,-4.879157132,0.159761506,1.05150517
Enrosadira,KAISHI,30,Edges,OSAVI,4,-0.00114,0.01707,0.04642,-0.178049607,2.670813965,7.074052005
Enrosadira,KAISHI,30,Edges,SIPI2,1,0.00226,0.01162,0.02713,0.254020778,1.302762147,3.002531068
Enrosadira,KAISHI,30,Edges,SIPI2,2,-0.01498,0.02099,-0.02402,-1.610629726,2.293760948,-2.566017257
Enrosadira,KAISHI,30,Edges,SIPI2,3,-0.00037,-0.01169,0.00904,-0.039456944,-1.247118239,0.976588874
Enrosadira,KAISHI,30,Edges,SIPI2,4,-0.01633,0.01767,0.00668,-1.749497274,1.926765466,0.714628816
Enrosadira,KAISHI,50,Bounded,GNDVI,1,0.01298,-0.00032,0.03669,1.836443355,-0.044457967,5.099650989
Enrosadira,KAISHI,50,Bounded,GNDVI,2,0.00364,0.05104,-0.04544,0.485993637,6.781633784,-5.654125309
Enrosadira,KAISHI,50,Bounded,GNDVI,3,-0.02667,-0.01738,0.02546,-3.298166902,-2.222617241,3.329928418
Enrosadira,KAISHI,50,Bounded,GNDVI,4,-0.04658,0.03534,0.03,-5.818855941,4.687493783,3.801023996
Enrosadira,KAISHI,50,Bounded,LCI,1,0.03977,-0.03473,0.011,13.5221056,-10.40190966,3.677072783
Enrosadira,KAISHI,50,Bounded,LCI,2,-0.07464,0.08224,-0.04565,-18.98458901,25.81933373,-11.39082895
Enrosadira,KAISHI,50,Bounded,LCI,3,-0.07616,-0.04781,0.01081,-15.25607408,-11.30123791,2.880815263
Enrosadira,KAISHI,50,Bounded,LCI,4,-0.11284,0.0659,0.03827,-26.45962937,21.01262352,10.08376348
Enrosadira,KAISHI,50,Bounded,MCARI,1,0.07596,-0.20748,0.02214,6.46880437,-16.59559866,2.123270527
Enrosadira,KAISHI,50,Bounded,MCARI,2,0.11786,0.07092,0.16948,12.89227306,6.871753431,15.36577118
Enrosadira,KAISHI,50,Bounded,MCARI,3,-0.01554,0.22177,-0.2582,-1.703777364,24.73590459,-23.08818309
Enrosadira,KAISHI,50,Bounded,MCARI,4,0.2276,-0.22599,0.24997,24.38603653,-19.46644087,26.73673244
Enrosadira,KAISHI,50,Bounded,MCARI2,1,0.02996,-0.07392,0.05149,3.385039166,-8.07841483,6.121665274
Enrosadira,KAISHI,50,Bounded,MCARI2,2,-0.07486,0.08403,-0.01937,-8.453684851,10.36548736,-2.164969079
Enrosadira,KAISHI,50,Bounded,MCARI2,3,-0.06896,-0.0394,0.06321,-7.523283887,-4.648084553,7.820493628
Enrosadira,KAISHI,50,Bounded,MCARI2,4,-0.062,0.02391,0.08089,-7.420786101,3.091180117,10.14420599
Enrosadira,KAISHI,50,Bounded,NDRE,1,0.02869,-0.02375,0.00601,15.36352488,-11.02441153,3.135417699
Enrosadira,KAISHI,50,Bounded,NDRE,2,-0.0578,0.06146,-0.03609,-21.85825414,29.74384289,-13.46184691
Enrosadira,KAISHI,50,Bounded,NDRE,3,-0.06363,-0.04079,0.00691,-17.96437616,-14.03787715,2.766423387
Enrosadira,KAISHI,50,Bounded,NDRE,4,-0.09018,0.05136,0.0265,-30.8285559,25.38289323,10.44536679
Enrosadira,KAISHI,50,Bounded,NDVI,1,0.00929,-0.02011,0.02019,1.054051632,-2.257898997,2.319247456
Enrosadira,KAISHI,50,Bounded,NDVI,2,-0.01311,0.02785,-0.01288,-1.464917407,3.158237329,-1.415896516
Enrosadira,KAISHI,50,Bounded,NDVI,3,-0.02661,-0.00416,0.01772,-2.896764789,-0.46636719,1.995852861
Enrosadira,KAISHI,50,Bounded,NDVI,4,-0.01974,0.01107,0.02525,-2.190288832,1.255798283,2.828874914
Enrosadira,KAISHI,50,Bounded,OSAVI,1,0.01577,-0.02998,0.03031,2.221530391,-4.131519581,4.35700722
Enrosadira,KAISHI,50,Bounded,OSAVI,2,-0.03039,0.04546,-0.01763,-4.231288141,6.609181616,-2.404229699
Enrosadira,KAISHI,50,Bounded,OSAVI,3,-0.03238,-0.02005,0.0295,-4.366288156,-2.82708531,4.28056724
Enrosadira,KAISHI,50,Bounded,OSAVI,4,-0.03276,0.01556,0.03741,-4.644364455,2.313372811,5.436148864
